,var1(t-10),var2(t-10),var3(t-10),var4(t-10),var5(t-10),var6(t-10),var7(t-10),var8(t-10),var9(t-10),var10(t-10),var1(t-9),var2(t-9),var3(t-9),var4(t-9),var5(t-9),var6(t-9),var7(t-9),var8(t-9),var9(t-9),var10(t-9),var1(t-8),var2(t-8),var3(t-8),var4(t-8),var5(t-8),var6(t-8),var7(t-8),var8(t-8),var9(t-8),var10(t-8),var1(t-7),var2(t-7),var3(t-7),var4(t-7),var5(t-7),var6(t-7),var7(t-7),var8(t-7),var9(t-7),var10(t-7),var1(t-6),var2(t-6),var3(t-6),var4(t-6),var5(t-6),var6(t-6),var7(t-6),var8(t-6),var9(t-6),var10(t-6),var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var6(t-5),var7(t-5),var8(t-5),var9(t-5),var10(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var6(t-4),var7(t-4),var8(t-4),var9(t-4),var10(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var6(t-3),var7(t-3),var8(t-3),var9(t-3),var10(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var6(t-2),var7(t-2),var8(t-2),var9(t-2),var10(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var1(t),var2(t),var3(t),var4(t),var5(t),var6(t),var7(t),var8(t),var9(t),var10(t)
20,11.0,0.08022080000000001,81.0,20.38,64.41,0.0,1.0,0.0,1.0,0.0,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0
21,12.0,0.087154687,57.0,19.15,52.71,0.0,1.0,0.0,1.0,0.0,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0
22,13.0,0.094687904,61.0,21.85,52.64,0.0,1.0,0.0,1.0,0.0,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0
23,14.0,0.102872255,57.0,22.79,66.06,0.0,1.0,0.0,1.0,0.0,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0
24,15.0,0.11176402099999999,58.0,22.18,65.08,0.0,1.0,0.0,1.0,0.0,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0
25,16.0,0.121424346,65.0,21.64,56.0,0.0,1.0,0.0,1.0,0.0,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0
26,17.0,0.131919662,64.0,24.88,83.16,0.0,1.0,0.0,1.0,0.0,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0,27.0,0.30223663100000003,86.0,25.45,72.08,0.0,1.0,0.0,1.0,0.0
27,18.0,0.143322141,72.0,23.8,64.87,0.0,1.0,0.0,1.0,0.0,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0,27.0,0.30223663100000003,86.0,25.45,72.08,0.0,1.0,0.0,1.0,0.0,28.0,0.328360461,87.0,26.68,78.11,0.0,1.0,0.0,1.0,0.0
28,19.0,0.155710194,85.0,23.4,71.21,0.0,1.0,0.0,1.0,0.0,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0,27.0,0.30223663100000003,86.0,25.45,72.08,0.0,1.0,0.0,1.0,0.0,28.0,0.328360461,87.0,26.68,78.11,0.0,1.0,0.0,1.0,0.0,29.0,0.356742304,75.0,26.24,82.57,0.0,1.0,0.0,1.0,0.0
29,20.0,0.169169008,87.0,19.22,52.67,0.0,1.0,0.0,1.0,0.0,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0,27.0,0.30223663100000003,86.0,25.45,72.08,0.0,1.0,0.0,1.0,0.0,28.0,0.328360461,87.0,26.68,78.11,0.0,1.0,0.0,1.0,0.0,29.0,0.356742304,75.0,26.24,82.57,0.0,1.0,0.0,1.0,0.0,30.0,0.38757733299999997,75.0,21.85,61.87,0.0,1.0,0.0,1.0,0.0
30,21.0,0.183791134,84.0,22.64,56.57,0.0,1.0,0.0,1.0,0.0,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0,27.0,0.30223663100000003,86.0,25.45,72.08,0.0,1.0,0.0,1.0,0.0,28.0,0.328360461,87.0,26.68,78.11,0.0,1.0,0.0,1.0,0.0,29.0,0.356742304,75.0,26.24,82.57,0.0,1.0,0.0,1.0,0.0,30.0,0.38757733299999997,75.0,21.85,61.87,0.0,1.0,0.0,1.0,0.0,31.0,0.42107758799999995,83.0,21.74,59.91,0.0,1.0,0.0,1.0,0.0
31,22.0,0.199677125,93.0,24.52,74.88,0.0,1.0,0.0,1.0,0.0,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0,27.0,0.30223663100000003,86.0,25.45,72.08,0.0,1.0,0.0,1.0,0.0,28.0,0.328360461,87.0,26.68,78.11,0.0,1.0,0.0,1.0,0.0,29.0,0.356742304,75.0,26.24,82.57,0.0,1.0,0.0,1.0,0.0,30.0,0.38757733299999997,75.0,21.85,61.87,0.0,1.0,0.0,1.0,0.0,31.0,0.42107758799999995,83.0,21.74,59.91,0.0,1.0,0.0,1.0,0.0,32.0,0.457473439,90.0,22.18,60.32,0.0,1.0,0.0,1.0,0.0
32,23.0,0.21693622199999998,93.0,24.08,76.57,0.0,1.0,0.0,1.0,0.0,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0,27.0,0.30223663100000003,86.0,25.45,72.08,0.0,1.0,0.0,1.0,0.0,28.0,0.328360461,87.0,26.68,78.11,0.0,1.0,0.0,1.0,0.0,29.0,0.356742304,75.0,26.24,82.57,0.0,1.0,0.0,1.0,0.0,30.0,0.38757733299999997,75.0,21.85,61.87,0.0,1.0,0.0,1.0,0.0,31.0,0.42107758799999995,83.0,21.74,59.91,0.0,1.0,0.0,1.0,0.0,32.0,0.457473439,90.0,22.18,60.32,0.0,1.0,0.0,1.0,0.0,33.0,0.497015165,83.0,23.22,58.08,0.0,1.0,0.0,1.0,0.0
33,24.0,0.23568710899999998,88.0,24.08,69.32,0.0,1.0,0.0,1.0,0.0,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0,27.0,0.30223663100000003,86.0,25.45,72.08,0.0,1.0,0.0,1.0,0.0,28.0,0.328360461,87.0,26.68,78.11,0.0,1.0,0.0,1.0,0.0,29.0,0.356742304,75.0,26.24,82.57,0.0,1.0,0.0,1.0,0.0,30.0,0.38757733299999997,75.0,21.85,61.87,0.0,1.0,0.0,1.0,0.0,31.0,0.42107758799999995,83.0,21.74,59.91,0.0,1.0,0.0,1.0,0.0,32.0,0.457473439,90.0,22.18,60.32,0.0,1.0,0.0,1.0,0.0,33.0,0.497015165,83.0,23.22,58.08,0.0,1.0,0.0,1.0,0.0,34.0,0.539974682,87.0,23.98,64.29,0.0,1.0,0.0,1.0,0.0
34,25.0,0.256058729,77.0,23.72,67.65,0.0,1.0,0.0,1.0,0.0,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0,27.0,0.30223663100000003,86.0,25.45,72.08,0.0,1.0,0.0,1.0,0.0,28.0,0.328360461,87.0,26.68,78.11,0.0,1.0,0.0,1.0,0.0,29.0,0.356742304,75.0,26.24,82.57,0.0,1.0,0.0,1.0,0.0,30.0,0.38757733299999997,75.0,21.85,61.87,0.0,1.0,0.0,1.0,0.0,31.0,0.42107758799999995,83.0,21.74,59.91,0.0,1.0,0.0,1.0,0.0,32.0,0.457473439,90.0,22.18,60.32,0.0,1.0,0.0,1.0,0.0,33.0,0.497015165,83.0,23.22,58.08,0.0,1.0,0.0,1.0,0.0,34.0,0.539974682,87.0,23.98,64.29,0.0,1.0,0.0,1.0,0.0,35.0,0.586647405,92.0,23.11,66.93,0.0,1.0,0.0,1.0,0.0
35,26.0,0.278191171,81.0,22.64,62.15,0.0,1.0,0.0,1.0,0.0,27.0,0.30223663100000003,86.0,25.45,72.08,0.0,1.0,0.0,1.0,0.0,28.0,0.328360461,87.0,26.68,78.11,0.0,1.0,0.0,1.0,0.0,29.0,0.356742304,75.0,26.24,82.57,0.0,1.0,0.0,1.0,0.0,30.0,0.38757733299999997,75.0,21.85,61.87,0.0,1.0,0.0,1.0,0.0,31.0,0.42107758799999995,83.0,21.74,59.91,0.0,1.0,0.0,1.0,0.0,32.0,0.457473439,90.0,22.18,60.32,0.0,1.0,0.0,1.0,0.0,33.0,0.497015165,83.0,23.22,58.08,0.0,1.0,0.0,1.0,0.0,34.0,0.539974682,87.0,23.98,64.29,0.0,1.0,0.0,1.0,0.0,35.0,0.586647405,92.0,23.11,66.93,0.0,1.0,0.0,1.0,0.0,36.0,0.637354286,91.0,25.74,71.17,0.0,1.0,0.0,1.0,0.0
